"Severity","RuleName","ScriptName","Line","Message"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","242","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","247","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","252","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","257","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","262","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","268","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","278","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","288","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","300","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","312","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","317","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","318","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","321","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","322","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","330","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","342","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","354","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","357","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","367","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","370","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","382","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","396","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","401","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","408","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","410","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","423","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","434","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","439","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","442","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","446","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","495","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","514","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","519","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","525","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","568","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","575","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","581","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","584","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","QuickChecks-Console.ps1","587","Line has trailing whitespace"
"Warning","PSUseApprovedVerbs","QuickChecks-Console.ps1","205","The cmdlet 'Step1-Welcome' uses an unapproved verb."
"Warning","PSUseApprovedVerbs","QuickChecks-Console.ps1","276","The cmdlet 'Step2-Connections' uses an unapproved verb."
"Warning","PSUseApprovedVerbs","QuickChecks-Console.ps1","365","The cmdlet 'Step3-Selection' uses an unapproved verb."
"Warning","PSUseApprovedVerbs","QuickChecks-Console.ps1","432","The cmdlet 'Step4-RunAssessment' uses an unapproved verb."
"Warning","PSUseSingularNouns","QuickChecks-Console.ps1","276","The cmdlet 'Step2-Connections' uses a plural noun. A singular noun should be used instead."
"Warning","PSAvoidOverwritingBuiltInCmdlets","QuickChecks-Console.ps1","148","'Test-Connection' is a cmdlet that is included with PowerShell (version core-6.1.0-windows) whose definition should not be overridden"
"Warning","PSUseBOMForUnicodeEncodedFile","QuickChecks-Console.ps1",,"Missing BOM encoding for non-ASCII encoded file 'QuickChecks-Console.ps1'"
"Warning","PSPossibleIncorrectComparisonWithNull","QuickChecks-Console.ps1","101","$null should be on the left side of equality comparisons."
"Warning","PSPossibleIncorrectComparisonWithNull","QuickChecks-Console.ps1","234","$null should be on the left side of equality comparisons."
"Warning","PSPossibleIncorrectComparisonWithNull","QuickChecks-Console.ps1","239","$null should be on the left side of equality comparisons."
"Warning","PSPossibleIncorrectComparisonWithNull","QuickChecks-Console.ps1","244","$null should be on the left side of equality comparisons."
"Warning","PSPossibleIncorrectComparisonWithNull","QuickChecks-Console.ps1","249","$null should be on the left side of equality comparisons."
"Warning","PSPossibleIncorrectComparisonWithNull","QuickChecks-Console.ps1","254","$null should be on the left side of equality comparisons."
"Warning","PSReviewUnusedParameter","QuickChecks-Console.ps1","21","The parameter 'AutoRun' has been declared but not used."
"Warning","PSReviewUnusedParameter","QuickChecks-Console.ps1","80","The parameter 'AsObject' has been declared but not used."
"Warning","PSReviewUnusedParameter","QuickChecks-Console.ps1","128","The parameter 'NoNewline' has been declared but not used."
"Warning","PSUseDeclaredVarsMoreThanAssignments","QuickChecks-Console.ps1","61","The variable 'colors' is assigned but never used."
"Information","PSAvoidTrailingWhitespace","Run-AllQuickChecks.ps1","75","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Run-AllQuickChecks.ps1","81","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Run-AllQuickChecks.ps1","83","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Run-AllQuickChecks.ps1","87","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Run-AllQuickChecks.ps1","90","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Run-AllQuickChecks.ps1","96","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Run-AllQuickChecks.ps1","99","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Run-AllQuickChecks.ps1","109","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Run-AllQuickChecks.ps1","112","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Run-AllQuickChecks.ps1","114","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Run-AllQuickChecks.ps1","115","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Run-AllQuickChecks.ps1","116","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Run-AllQuickChecks.ps1","117","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Run-AllQuickChecks.ps1","118","Line has trailing whitespace"
"Warning","PSUseBOMForUnicodeEncodedFile","Run-AllQuickChecks.ps1",,"Missing BOM encoding for non-ASCII encoded file 'Run-AllQuickChecks.ps1'"
"Warning","PSAvoidUsingEmptyCatchBlock","Sign-QuickChecks.ps1","118","Empty catch block is used. Please use Write-Error or throw statements in catch blocks."
"Warning","PSAvoidUsingEmptyCatchBlock","Sign-QuickChecks.ps1","119","Empty catch block is used. Please use Write-Error or throw statements in catch blocks."
"Warning","PSAvoidUsingEmptyCatchBlock","Sign-QuickChecks.ps1","121","Empty catch block is used. Please use Write-Error or throw statements in catch blocks."
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","23","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","26","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","35","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","38","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","41","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","44","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","132","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","154","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","167","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","170","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","176","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","181","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","184","Line has trailing whitespace"
